generation,averageAntagonist,averageProtagonist,topAntagonist,topProtagonist,antagonistStrategies,topProtagonistStrategies,topAntagonistDominantStrategy,topProtagonistDominantStrategy,topAntagonistBirthGen,topProtagonistBirthGen,topAntagonistDelta,topProtagonistDelta,topAntagonistEquation,topProtagonistEquation,spec,runNumber
26,-0.39153861100730547,0.19467834467609538,-0.08030016373981474,0.4419405869035066,StrategyAddTreeWithAdd|StrategySkipD|StrategyAddTreeWithMult|StrategySkipD|StrategySkipD|StrategyMultXD|StrategySkipD|StrategyAddTreeWithSub|StrategyReplaceBranchR|StrategyMultXD,StrategySkipD|StrategySubXD|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyMutateTerminalR|StrategySkipD|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddToLeafR|StrategyAddTreeWithDiv,StrategySkipD,StrategyAddTreeWithDiv,23,24,658271.5,658271.5,(((((((0)+(4))*(((8)*(7))+(9)))*((x)*(x)))+((2)*((x)+(7))))*(x))*(x)),(((((7)+(((9)/(0))*(((0)/(0))*(9))))*((((7)-(4))/((0)/(7)))-((5)+(2))))*(((8)*(0))+((7)*((x)*(x)))))-(x)),5*x*x*x+2*x+7,3
27,-0.33212037072395645,0.34603482761755233,-0.16912652363367248,0.6887737759741555,StrategyAddTreeWithAdd|StrategySkipD|StrategyAddTreeWithMult|StrategySkipD|StrategySkipD|StrategyMultXD|StrategySkipD|StrategyAddTreeWithSub|StrategyReplaceBranchR|StrategyMultXD,StrategySkipD|StrategySubXD|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyMutateTerminalR|StrategySkipD|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyAddTreeWithDiv,StrategySkipD,StrategyAddTreeWithDiv,25,26,840024.5,840024.5,(((((((3)+((7)*(5)))*(x))*((x)*(x)))+((x)*(8)))*(x))*(x)),(((((0)+((x)*(6)))*(((x)/(0))*(((3)/((7)*(0)))*((0)-(1)))))+(((2)*(6))+((7)*((8)-((1)*((5)/(6)))))))-((9)/(2))),5*x*x*x+2*x+7,3
28,-0.3093719084543082,0.2794804759567715,0.08416130113780054,0.6871833326419245,StrategyAddTreeWithAdd|StrategySkipD|StrategyAddTreeWithMult|StrategySkipD|StrategySkipD|StrategyMultXD|StrategySkipD|StrategyAddTreeWithSub|StrategyReplaceBranchR|StrategyMultXD,StrategySkipD|StrategySubXD|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyMutateTerminalR|StrategySkipD|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyAddTreeWithDiv,StrategySkipD,StrategyAddTreeWithDiv,27,27,709179.5,709179.5,((((((5)*((6)+(2)))*((x)*((7)*(x))))+((2)*((9)+(9))))*(x))*(x)),(((((3)/(5))+((2)*((2)/(2))))*(((2)-(0))*(x)))-(((3)/(6))/(0))),5*x*x*x+2*x+7,3
29,-0.3862466901813756,0.21215374180057295,-0.013755243582573972,0.45213984179333233,StrategyAddTreeWithAdd|StrategySkipD|StrategyAddTreeWithMult|StrategySkipD|StrategySkipD|StrategyMultXD|StrategySkipD|StrategyAddTreeWithSub|StrategyReplaceBranchR|StrategyMultXD,StrategySkipD|StrategySubXD|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyMutateTerminalR|StrategySkipD|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyAddTreeWithDiv,StrategySkipD,StrategyAddTreeWithDiv,27,28,850120.3,850120.3,(((((((6)*(7))*(x))*(((1)+(7))*(x)))+((2)*((x)+((6)-(x)))))*(x))*(x)),(((((5)*((x)*(1)))+(((5)-(0))*((2)-(((0)/(0))/(7)))))+(((x)*(4))*(((x)/(1))+((((1)/(6))*(7))*((x)*(x))))))-(x)),5*x*x*x+2*x+7,3
30,-0.23325090972930332,0.2845233013358431,0.05401236893241144,0.5921416691592544,StrategyAddTreeWithAdd|StrategySkipD|StrategyAddTreeWithMult|StrategySkipD|StrategySkipD|StrategyMultXD|StrategySkipD|StrategyAddTreeWithSub|StrategyReplaceBranchR|StrategyMultXD,StrategySkipD|StrategySubXD|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyMutateTerminalR|StrategySkipD|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyAddTreeWithMult,StrategySkipD,StrategyAddTreeWithDiv,29,29,1031325.5,1031325.5,((((((5)*(x))*((((7)-(4))+((9)*(x)))*(x)))+((2)*((x)+(7))))*(x))*(x)),((((5)-(4))*((((9)/(5))/(4))*(((3)/(4))/((2)*(0)))))-(x)),5*x*x*x+2*x+7,3
31,-0.3618849022103792,0.18727972778647545,-0.041640018541538495,0.7030807356311773,StrategyAddTreeWithAdd|StrategySkipD|StrategyAddTreeWithMult|StrategySkipD|StrategySkipD|StrategyMultXD|StrategySkipD|StrategyAddTreeWithSub|StrategyReplaceBranchR|StrategyMultXD,StrategySkipD|StrategySubXD|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyMutateTerminalR|StrategySkipD|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyAddTreeWithDiv,StrategySkipD,StrategyAddTreeWithDiv,30,29,882418.5,882418.5,((((((5)*(x))*((x)*((x)*(8))))+((9)+(x)))*(x))*(x)),((((((8)/(x))*((x)*((1)-(5))))*((3)*((7)-(8))))+((((9)/(1))+(1))*(((5)/(3))+((8)*((x)*((1)/((3)*(0))))))))-(x)),5*x*x*x+2*x+7,3
32,-0.36968639180547846,0.2561513528155092,-0.08334518915343067,0.6402642075850995,StrategyAddTreeWithAdd|StrategySkipD|StrategyAddTreeWithMult|StrategySkipD|StrategySkipD|StrategyMultXD|StrategySkipD|StrategyAddTreeWithSub|StrategyReplaceBranchR|StrategyMultXD,StrategySkipD|StrategySubXD|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyMutateTerminalR|StrategySkipD|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyAddTreeWithDiv,StrategySkipD,StrategyAddTreeWithDiv,30,31,203801,203801,(((((((1)-(6))*(x))*(((2)-(5))*((9)*(5))))+((2)*((x)+(7))))*(x))*(x)),(((((x)/((8)/(x)))+((7)/(2)))*(((8)/((6)*(0)))*((0)-(3))))-(x)),5*x*x*x+2*x+7,3
33,-0.17778599293156372,0.2117215391602,0.04462822161121858,0.5914890446904378,StrategyAddTreeWithAdd|StrategySkipD|StrategyAddTreeWithMult|StrategySkipD|StrategySkipD|StrategyMultXD|StrategySkipD|StrategyAddTreeWithSub|StrategyReplaceBranchR|StrategyMultXD,StrategySkipD|StrategySubXD|StrategyDivXD|StrategyAddTreeWithDiv|StrategyMutateTerminalR|StrategySkipD|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyAddTreeWithDiv,StrategySkipD,StrategyAddTreeWithDiv,32,32,595841,595841,(((((((1)*(3))*(x))*(((x)*(9))*(x)))+((2)*((x)+(7))))*(x))*(x)),(((((x)+((3)-(7)))*((x)*((1)/(0))))-(((7)*(8))/(7)))/((5)/(3))),5*x*x*x+2*x+7,3
34,-0.34101191795411245,0.25923141578358166,0.18134413072459205,0.8077642175241,StrategyAddTreeWithAdd|StrategySkipD|StrategyAddTreeWithMult|StrategySkipD|StrategyAddTreeWithSub|StrategyMultXD|StrategySkipD|StrategyReplaceBranchXR|StrategyReplaceBranchR|StrategyMultXD,StrategySkipD|StrategySubXD|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyMutateTerminalR|StrategySkipD|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyAddTreeWithDiv,StrategySkipD,StrategyAddTreeWithDiv,33,33,1383892,1383892,(((((((7)*(x))*(x))*((x)*(x)))+((2)*(((7)*((5)-(5)))+(7))))*(x))*(x)),(((((0)+((9)/(9)))+(((7)/(x))*(2)))*((1)+(((5)*(x))*(((6)/((8)-(3)))*((5)/(0))))))-(x)),5*x*x*x+2*x+7,3
35,-0.32979208345301597,0.23935329264260727,-0.04067435668392958,0.5095853623781006,StrategyAddTreeWithAdd|StrategySkipD|StrategyAddTreeWithMult|StrategySkipD|StrategyAddTreeWithSub|StrategyMultXD|StrategySkipD|StrategyAddTreeWithSub|StrategyReplaceBranchR|StrategyMultXD,StrategySkipD|StrategySubXD|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyMutateTerminalR|StrategySkipD|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyAddTreeWithDiv,StrategySkipD,StrategyAddTreeWithDiv,34,34,461300.2,461300.2,((((((((x)-((6)-(9)))+(9))*(x))*((x)*(x)))+(((0)*(5))*((8)+(8))))*(x))*(x)),(((((5)*((x)*((8)*(7))))+(((1)*((x)/(8)))-((9)+(2))))*((((3)/(x))+(x))-((((2)/(8))/(0))*(((0)-(4))-((1)*(x))))))-(x)),5*x*x*x+2*x+7,3
36,-0.3912160454520604,0.2756202624090907,0.009152814725254399,0.5164747932550964,StrategyAddTreeWithAdd|StrategySkipD|StrategyAddTreeWithMult|StrategySkipD|StrategyAddTreeWithSub|StrategyMultXD|StrategySkipD|StrategyAddTreeWithSub|StrategyReplaceBranchR|StrategyMultXD,StrategySkipD|StrategySubXD|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyMutateTerminalR|StrategySkipD|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyAddTreeWithDiv,StrategySkipD,StrategyAddTreeWithDiv,35,35,494919,494919,(((((((1)-(4))*((5)*(x)))*(((8)+(5))*(x)))+((2)*((x)+((0)*(3)))))*(x))*(x)),((((((x)/(5))*(((1)/(0))*(4)))-(((0)+(2))-((3)*(x))))+((((1)/(3))*((2)/(7)))+((3)*(((7)*(2))-((4)*(x))))))-((9)-(8))),5*x*x*x+2*x+7,3
37,-0.35434925444032367,0.2793449171729364,-0.023709979292972926,0.545243686701804,StrategyAddTreeWithAdd|StrategySkipD|StrategyAddTreeWithMult|StrategySkipD|StrategySkipD|StrategyMultXD|StrategySkipD|StrategyAddTreeWithSub|StrategyReplaceBranchR|StrategyMultXD,StrategySkipD|StrategySubXD|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyMutateTerminalR|StrategySkipD|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyAddTreeWithDiv,StrategySkipD,StrategyAddTreeWithDiv,36,36,607836.5,607836.5,((((((5)*((8)+((5)*(8))))*((x)*(x)))+((2)*((x)+((7)+(3)))))*(x))*(x)),(((((5)*((1)*((x)/((4)/(0)))))+((1)*((9)-(1))))+(((2)*((7)/((8)-(8))))+(((2)*(6))*(((4)/(x))*(x)))))-(x)),5*x*x*x+2*x+7,3
38,-0.3857303290616575,0.24533247677014783,-0.13606951537605988,0.5243386876705232,StrategyAddTreeWithAdd|StrategySkipD|StrategyAddTreeWithMult|StrategySkipD|StrategySkipD|StrategyMultXD|StrategySkipD|StrategyAddTreeWithSub|StrategyReplaceBranchR|StrategyMultXD,StrategySkipD|StrategySubXD|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyMutateTerminalR|StrategySkipD|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyAddTreeWithDiv,StrategySkipD,StrategyAddTreeWithDiv,37,35,224024.5,224024.5,((((((5)*(x))*(((x)+((2)+(7)))*(x)))+((2)*((x)+(7))))*(x))*(x)),((((((1)/(((0)/(0))-(4)))*(8))+((2)*(2)))+((8)+(((5)/(1))*(((7)/(5))*((8)*(3))))))-(x)),5*x*x*x+2*x+7,3
39,-0.4313778924327177,0.28291694977984505,-0.07584452386285355,0.6777592393812583,StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategySkipD|StrategySkipD|StrategyMultXD|StrategySkipD|StrategyAddTreeWithSub|StrategyReplaceBranchR|StrategyMultXD,StrategySkipD|StrategySubXD|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyMutateTerminalR|StrategySkipD|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyAddTreeWithDiv,StrategySkipD,StrategyAddTreeWithDiv,38,38,199263.5,199263.5,((((((5)*(x))*((((7)*(9))+(3))*((0)+(2))))+((2)*((x)+(7))))*(x))*(x)),(((((3)*(3))+((2)*((6)*(5))))+(((5)-(3))+(((2)/(5))*(((5)-(5))*(((9)*(1))/((0)/(7)))))))-((3)/(6))),5*x*x*x+2*x+7,3
40,-0.25109107391107577,0.26460454630787067,-0.037237847680605764,0.5291013217087357,StrategyAddTreeWithAdd|StrategySkipD|StrategyAddTreeWithMult|StrategySkipD|StrategyAddTreeWithSub|StrategyMultXD|StrategySkipD|StrategyAddTreeWithSub|StrategyReplaceBranchR|StrategyMultXD,StrategySkipD|StrategySubXD|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyMutateTerminalR|StrategySkipD|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyAddTreeWithDiv,StrategySkipD,StrategyAddTreeWithDiv,39,39,660944.5,660944.5,(((((((5)*(x))*(x))*((((0)-(1))+(7))*(x)))+((0)+(0)))*(x))*(x)),(((((5)*(((5)/(9))/(x)))*((x)*(((3)/(0))+(2))))*((((5)-(2))+(6))+(((2)/(7))*((x)*((0)*(x))))))-(x)),5*x*x*x+2*x+7,3
41,-0.3477130879732612,0.32533875514676613,-0.03823748043984053,0.6195875390645218,StrategyAddTreeWithAdd|StrategySkipD|StrategyAddTreeWithMult|StrategySkipD|StrategySkipD|StrategyMultXD|StrategySkipD|StrategyAddTreeWithSub|StrategyReplaceBranchR|StrategyMultXD,StrategySkipD|StrategySubXD|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyMutateTerminalR|StrategySkipD|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyAddTreeWithDiv,StrategySkipD,StrategyAddTreeWithDiv,39,40,439415.1,439415.1,((((((5)*(x))*((x)*(((x)-(5))*(x))))+((2)*((8)*(4))))*(x))*(x)),((((((7)*(3))-(((2)/(0))/((9)-(6))))+((x)-((7)/(4))))*((x)+((0)*(((7)/(1))*(x)))))-(x)),5*x*x*x+2*x+7,3
42,-0.2544381629381226,0.3604996987835766,0.16976536468011302,0.7226989592812555,StrategyAddTreeWithAdd|StrategySkipD|StrategyAddTreeWithMult|StrategySkipD|StrategySkipD|StrategyMultXD|StrategySkipD|StrategyAddTreeWithSub|StrategyReplaceBranchR|StrategyMultXD,StrategySkipD|StrategySubXD|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyMutateTerminalR|StrategySkipD|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyAddTreeWithDiv,StrategySkipD,StrategyAddTreeWithDiv,39,41,955517.9,955517.9,(((((((1)+(5))*(((7)-(0))*(9)))*((x)*(x)))+((2)*((0)-(7))))*(x))*(x)),(((((5)*((((4)/(6))-(x))*(3)))+((x)*(((7)/((0)*(0)))-((0)/(2)))))+(((0)*(4))*(((6)/(7))-((1)*((x)*(x))))))-(x)),5*x*x*x+2*x+7,3
43,-0.37671313307714477,0.2931838513259033,0.10053462302354088,0.6274464809380083,StrategyAddTreeWithAdd|StrategySkipD|StrategyAddTreeWithMult|StrategySkipD|StrategyAddTreeWithSub|StrategyMultXD|StrategySkipD|StrategyAddTreeWithSub|StrategyReplaceBranchR|StrategyMultXD,StrategySkipD|StrategySubXD|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyMutateTerminalR|StrategySkipD|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyAddTreeWithDiv,StrategySkipD,StrategyAddTreeWithDiv,41,42,810115.5,810115.5,((((((5)*((8)*(x)))*(((0)+((8)+(0)))*(x)))+((2)*(((x)-(2))+(7))))*(x))*(x)),(((((3)-((2)*((2)/(8))))*(((6)+(8))*(((3)/(x))*(1))))-(((1)+(3))*((0)*(((2)/(9))*((((4)-(9))/((0)*(0)))*(x))))))-(x)),5*x*x*x+2*x+7,3
44,-0.21624906262015187,0.2138029460318392,0.21775980897095346,0.4333088004170073,StrategyAddTreeWithAdd|StrategySkipD|StrategyAddTreeWithMult|StrategySkipD|StrategySkipD|StrategyMultXD|StrategySkipD|StrategyAddTreeWithSub|StrategyReplaceBranchR|StrategyMultXD,StrategySkipD|StrategySubXD|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyMutateTerminalR|StrategySkipD|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyAddTreeWithDiv,StrategySkipD,StrategyAddTreeWithDiv,43,43,1780178,1780178,(((((((9)*(x))*(x))*((x)*(x)))+((2)*((x)+(7))))*(x))*(x)),((((((4)/(0))*((x)*((1)/(x))))*(((4)*(0))+(((4)/(0))+(5))))*(((0)-((2)-(7)))+((3)*((0)*((x)*((5)/(x)))))))-(1)),5*x*x*x+2*x+7,3
45,-0.3877125407867449,0.34588618805722054,-0.10745463366133126,0.586101140616347,StrategyAddTreeWithAdd|StrategySkipD|StrategyAddTreeWithMult|StrategySkipD|StrategySkipD|StrategyMultXD|StrategySkipD|StrategyAddTreeWithSub|StrategyReplaceBranchR|StrategyMultXD,StrategySkipD|StrategySubXD|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyMutateTerminalR|StrategySkipD|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyAddTreeWithDiv,StrategySkipD,StrategyAddTreeWithDiv,44,42,433610.8,433610.8,((((((5)*((6)+((3)*(x))))*((x)*(x)))+(((x)*(6))*((x)+(7))))*(x))*(x)),((((((7)/(3))*((x)*(x)))*(((2)*(7))-(((4)/(3))+(1))))-((((4)/(x))+(1))*((2)+((7)*((x)*((7)/(0)))))))-((5)-(5))),5*x*x*x+2*x+7,3
46,-0.3028841239059822,0.27396594938539687,0.10338311432851952,0.5571971359118246,StrategyAddTreeWithAdd|StrategySkipD|StrategyAddTreeWithMult|StrategySkipD|StrategySkipD|StrategyMultXD|StrategySkipD|StrategyAddTreeWithSub|StrategyReplaceBranchR|StrategyMultXD,StrategySkipD|StrategySubXD|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyMutateTerminalR|StrategySkipD|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyAddTreeWithDiv,StrategySkipD,StrategyAddTreeWithDiv,45,45,771511,771511,((((((5)*(x))*((x)*((x)*(7))))+((4)*(1)))*(x))*(x)),(((((5)*((4)*(0)))*(((0)-(4))*(((4)/(3))+(2))))*(((5)*((1)/(5)))+((1)-((x)*((x)*(((8)/(9))/(0)))))))-((6)*(3))),5*x*x*x+2*x+7,3
47,-0.27759443521317817,0.3978459000167325,0.2188375637781071,0.5692232451762165,StrategyAddTreeWithAdd|StrategySkipD|StrategyAddTreeWithMult|StrategySkipD|StrategySkipD|StrategyMultXD|StrategySkipD|StrategyAddTreeWithSub|StrategyReplaceBranchR|StrategyMultXD,StrategySkipD|StrategySubXD|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyMutateTerminalR|StrategySkipD|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyAddTreeWithDiv,StrategySkipD,StrategyAddTreeWithDiv,46,46,341075.5,341075.5,((((((5)*((3)+((4)*(6))))*((x)*(x)))+((x)+(8)))*(x))*(x)),((((x)*(((4)/(9))/(((0)*((4)/(2)))/((7)-(1)))))*((0)*(x)))-(x)),5*x*x*x+2*x+7,3
48,-0.24785889771013023,0.2733729589603541,0.11441426007708973,0.44145175227978956,StrategyAddTreeWithAdd|StrategySkipD|StrategyAddTreeWithMult|StrategySkipD|StrategySkipD|StrategyMultXD|StrategySkipD|StrategyAddTreeWithSub|StrategyReplaceBranchR|StrategyMultXD,StrategySkipD|StrategySubXD|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyMutateTerminalR|StrategySkipD|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyAddTreeWithDiv,StrategySkipD,StrategyAddTreeWithDiv,47,47,1059573.5,1059573.5,(((((((4)*(3))*(x))*(((x)*(4))*(x)))+((2)*((x)+(7))))*(x))*(x)),((((9)/(8))+(((1)*(5))*(x)))-(((3)/(0))/((9)-((1)/(0))))),5*x*x*x+2*x+7,3
49,-0.18469881464647533,0.29323859824978604,0.13818417365655203,0.7325101961232574,StrategyAddTreeWithAdd|StrategySkipD|StrategyAddTreeWithMult|StrategySkipD|StrategySkipD|StrategyMultXD|StrategySkipD|StrategyAddTreeWithSub|StrategyReplaceBranchR|StrategyMultXD,StrategySkipD|StrategySubXD|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyMutateTerminalR|StrategySkipD|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyAddTreeWithDiv,StrategySkipD,StrategyAddTreeWithDiv,48,48,677213.5,677213.5,(((((((1)+(9))*(x))*(((3)+(5))*((7)*(4))))+((2)*((x)+(7))))*(x))*(x)),(((((5)*(((0)/((3)/((8)/(0))))*(x)))*(((9)-(7))+((2)*((2)*(x)))))+(((3)+(6))+((3)*((6)*((x)*(x))))))-((8)/(8))),5*x*x*x+2*x+7,3
50,0.05101795659175893,0.5663331059176145,0.12331725246613534,0.7325101961232574,StrategyAddTreeWithAdd|StrategySkipD|StrategyAddTreeWithMult|StrategySkipD|StrategySkipD|StrategyMultXD|StrategySkipD|StrategyAddTreeWithSub|StrategyReplaceBranchR|StrategyMultXD,StrategySkipD|StrategySubXD|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyMutateTerminalR|StrategySkipD|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyAddTreeWithDiv,StrategySkipD,StrategyAddTreeWithDiv,47,48,701130.5,701130.5,((((5)*((x)*(0)))-((8)*((7)*(x))))+(((8)+(9))*((x)+((7)*((x)*(x)))))),(((((5)*(0))/((3)/((8)/(0))))*(((x)*(9))-((7)+((2)*(2)))))*((((x)+(3))+((6)+(3)))*(((6)*(x))*((x)-((8)/(8)))))),5*x*x*x+2*x+7,3
1,-0.9646025496839765,0.0860533682002556,-0.8831751670400273,0.4183360208128142,StrategySkipD|StrategyAddXD|StrategySkipD|StrategyMultXD|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyDivXD|StrategyMutateTerminalR|StrategyAddToLeafR|StrategyAddTreeWithMult,StrategyReplaceBranchXR|StrategyAddTreeWithMult|StrategyAddTreeWithDiv|StrategyReplaceBranchXR|StrategyDivXD|StrategyAddXD|StrategyDivXD|StrategyAddTreeWithMult|StrategyMutateNonTerminalR|StrategyAddToLeafR,StrategySkipD,StrategyReplaceBranchXR,0,0,34676,34676,(((((((((2)+(5))+(x))*(x))*((x)*((5)-((9)*(7)))))+((2)*((x)+(7))))+(x))*(x))/(x)),((((((8)-(7))-(1))/((0)*(8)))+(x))/(x)),5*x*x*x+2*x+7,4
2,-0.9811992720535617,0.13181445470769268,-0.9582007513884351,0.32030118304354666,StrategySkipD|StrategyMutateTerminalR|StrategyAddTreeWithSub|StrategySubXD|StrategyReplaceBranchR|StrategyReplaceBranchR|StrategySkipD|StrategySkipD|StrategyAddTreeWithAdd|StrategyMutateTerminalR,StrategyReplaceBranchXR|StrategyMultXD|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategyAddToLeafR|StrategyDivXD|StrategyAddTreeWithSub|StrategyAddXD|StrategyAddTreeWithSub|StrategyAddTreeWithDiv,StrategySkipD,StrategyAddTreeWithSub,1,0,12322.5,12322.5,(((((5)*(x))*((x)*((8)*((2)+(7)))))+((4)-(4)))-(7)),((((((x)+(5))-((((5)-((2)/(0)))+(2))*(((7)-(0))+(((2)-(3))-((4)-(0))))))*((5)*(6)))/(x))+(x)),5*x*x*x+2*x+7,4
3,-0.9426030455436372,0.15399448867951468,-0.8013962806868214,0.4164082861424724,StrategySkipD|StrategyReplaceBranchXR|StrategyMultXD|StrategyMutateNonTerminalR|StrategyAddXD|StrategyMutateNonTerminalR|StrategySkipD|StrategySkipD|StrategyAddTreeWithAdd|StrategyMutateTerminalR,StrategyReplaceBranchXR|StrategyMultXD|StrategyAddTreeWithDiv|StrategyReplaceBranchXR|StrategyDivXD|StrategySubXD|StrategyAddTreeWithAdd|StrategyAddXD|StrategyAddTreeWithSub|StrategyAddTreeWithDiv,StrategySkipD,StrategyReplaceBranchXR,2,2,206061.5,206061.5,((((((5)*(x))*((x)*(x)))+((2)*((x)*(4))))*(x))*((9)+(7))),((((((9)-(4))+((2)-(7)))/(x))/(x))+((7)/(0))),5*x*x*x+2*x+7,4
4,-0.92433786743293,0.19454615822628224,-0.7933044753120656,0.34094062700400496,StrategySkipD|StrategyReplaceBranchXR|StrategyMultXD|StrategyMutateNonTerminalR|StrategyAddXD|StrategyMutateNonTerminalR|StrategySkipD|StrategySkipD|StrategyAddTreeWithAdd|StrategyMutateTerminalR,StrategyReplaceBranchXR|StrategyAddTreeWithMult|StrategyAddTreeWithDiv|StrategyReplaceBranchXR|StrategyDivXD|StrategyAddTreeWithAdd|StrategyAddXD|StrategyReplaceBranchXR|StrategyAddTreeWithMult|StrategyMutateTerminalR,StrategySkipD,StrategyReplaceBranchXR,3,3,207755.5,207755.5,((((((5)*(x))*(((x)+(7))*(x)))*((x)*(9)))-(x))+(x)),((((x)+(((4)+(9))*((x)+(0))))/((0)*(5)))+(x)),5*x*x*x+2*x+7,4
5,-0.8977878514192383,0.1618373512384383,-0.5709873904810341,0.24756019449185188,StrategySkipD|StrategyReplaceBranchXR|StrategyMultXD|StrategyMutateNonTerminalR|StrategyAddXD|StrategyMutateNonTerminalR|StrategySubXD|StrategySkipD|StrategySkipD|StrategySubXD,StrategyReplaceBranchXR|StrategyAddTreeWithMult|StrategyAddTreeWithDiv|StrategyReplaceBranchXR|StrategyDivXD|StrategyDivXD|StrategyAddTreeWithSub|StrategyAddXD|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR,StrategySkipD,StrategyReplaceBranchXR,4,4,1976864.7,1976864.7,((((((((5)*(x))*((x)*(x)))*((2)*((x)-(0))))*(x))*(x))-(x))-(x)),(((((x)*(6))/((0)*((7)-(5))))/((5)-(0)))+(x)),5*x*x*x+2*x+7,4
6,-0.9111239088079209,0.14509076719412492,-0.6573464982645698,0.2628321520291403,StrategySkipD|StrategyReplaceBranchXR|StrategyMultXD|StrategyMutateNonTerminalR|StrategyAddXD|StrategyMutateNonTerminalR|StrategySubXD|StrategySkipD|StrategySkipD|StrategySubXD,StrategyReplaceBranchXR|StrategyAddTreeWithMult|StrategyAddTreeWithDiv|StrategyReplaceBranchXR|StrategyDivXD|StrategyDivXD|StrategyAddTreeWithSub|StrategyAddXD|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR,StrategySkipD,StrategyDivXD,4,5,307440.5,307440.5,((((((((5)*(x))*((x)*(x)))*((2)-((x)*(3))))*(x))+(x))-(x))-(x)),(((((((5)*(((9)/(0))-((x)+(9))))+((x)*(((9)*(4))*(x))))+((((0)-(3))-((8)-(7)))+((x)-((x)-(x)))))/(x))/(x))+(x)),5*x*x*x+2*x+7,4
